taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1640873	Sergentomyia sintoni Pringle, 1953	1640872	Sergentomyia murgabiensis (Perfiliev, 1939)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Sergentomyia	1640777	Sergentomyia murgabiensis	1640872	
12102672	Nyssomyia trapidoi (Fairchild & Hertig, 1952)	12102672	Nyssomyia trapidoi (Fairchild & Hertig, 1952)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Nyssomyia	1660961	Nyssomyia trapidoi	12102672	
1641114	Sergentomyia machadoi (Abonnenc, 1967)	1641114	Sergentomyia machadoi (Abonnenc, 1967)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Sergentomyia	1640777	Sergentomyia machadoi	1641114	
1641177	Sergentomyia herollandi (Abonnenc, 1960)	1641177	Sergentomyia herollandi (Abonnenc, 1960)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Sergentomyia	1640777	Sergentomyia herollandi	1641177	
5088844	Lutzomyia rispaili Torres-Espejo, Cáceres & Le Pont, 1995	5088844	Lutzomyia rispaili Torres-Espejo, Cáceres & Le Pont, 1995	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Lutzomyia	5980929	Lutzomyia rispaili	5088844	
11859597	Psychodopygus recurvus (Young, 1973)	11859597	Psychodopygus recurvus (Young, 1973)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Psychodopygus	1640362	Psychodopygus recurvus	11859597	
9347580	Pressatia equatorialis (Mangabeira, 1942)	9347580	Pressatia equatorialis (Mangabeira, 1942)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Pressatia	4796779	Pressatia equatorialis	9347580	
1641111	Sergentomyia curvata Lewis & Dyce, 1983	1641111	Sergentomyia curvata Lewis & Dyce, 1983	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Sergentomyia	1640777	Sergentomyia curvata	1641111	
1640721	Brumptomyia virgensi Mangabeira & Sherlock, 1961	1640721	Brumptomyia virgensi Mangabeira & Sherlock, 1961	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Brumptomyia	1640695	Brumptomyia virgensi	1640721	
5981245	Phlebotomus galilaeus Theodor, 1958	5981245	Phlebotomus galilaeus Theodor, 1958	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Phlebotomus	1640274	Phlebotomus galilaeus	5981245	
5981187	Phlebotomus rupester Artemiev, 1978	5981187	Phlebotomus rupester Artemiev, 1978	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Phlebotomus	1640274	Phlebotomus rupester	5981187	
11541495	Nyssomyia richardwardi (Ready & Fraiha, 1981)	11541495	Nyssomyia richardwardi (Ready & Fraiha, 1981)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Nyssomyia	1660961	Nyssomyia richardwardi	11541495	
1641994	Chinius junlianensis Leng, 1985	1641994	Chinius junlianensis Leng, 1985	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Chinius	1641993	Chinius junlianensis	1641994	
1640835	Sergentomyia trouilleti Vattier-Bernard, 1976	1640835	Sergentomyia trouilleti Vattier-Bernard, 1976	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Sergentomyia	1640777	Sergentomyia trouilleti	1640835	
1641093	Sergentomyia torrechantei (Manalang, 1931)	1641093	Sergentomyia torrechantei (Manalang, 1931)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Sergentomyia	1640777	Sergentomyia torrechantei	1641093	
11506555	Sciopemyia nematoducta (Young & Arias, 1984)	11506555	Sciopemyia nematoducta (Young & Arias, 1984)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Sciopemyia	9475774	Sciopemyia nematoducta	11506555	
1641065	Sergentomyia modii Lewis, 1978	1641065	Sergentomyia modii Lewis, 1978	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Sergentomyia	1640777	Sergentomyia modii	1641065	
11971575	Evandromyia correalimai (Martins, Coutinho & Luz, 1970)	11971575	Evandromyia correalimai (Martins, Coutinho & Luz, 1970)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Evandromyia	1642945	Evandromyia correalimai	11971575	
10438110	Sergentomyia kaltenbachi Depaquit, Blavier & Randrianambinintsoa, 2019	10438110	Sergentomyia kaltenbachi Depaquit, Blavier & Randrianambinintsoa, 2019	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Sergentomyia	1640777	Sergentomyia kaltenbachi	10438110	
11746093	Pintomyia pia Fairchild & Hertig, 1961	11746093	Pintomyia pia Fairchild & Hertig, 1961	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Pintomyia	4572684	Pintomyia pia	11746093	
5886154	Phlebotomus turanicus Artemiev, 1974	5886154	Phlebotomus turanicus Artemiev, 1974	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Phlebotomus	1640274	Phlebotomus turanicus	5886154	
11637916	Pintomyia christenseni (Young & Duncan, 1994)	11637916	Pintomyia christenseni (Young & Duncan, 1994)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Pintomyia	4572684	Pintomyia christenseni	11637916	
5088937	Lutzomyia evangelistai Martins & Fraiha, 1971	5088937	Lutzomyia evangelistai Martins & Fraiha, 1971	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Lutzomyia	5980929	Lutzomyia evangelistai	5088937	
1641096	Sergentomyia kauli Lewis, 1978	1641096	Sergentomyia kauli Lewis, 1978	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Sergentomyia	1640777	Sergentomyia kauli	1641096	
5089101	Lutzomyia amarali (Barretto & Coutinho, 1940)	5089101	Lutzomyia amarali (Barretto & Coutinho, 1940)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Lutzomyia	5980929	Lutzomyia amarali	5089101	
8665797	Psathyromyia dasymera (Fairchild & Hertig, 1961)	8665797	Psathyromyia dasymera (Fairchild & Hertig, 1961)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Psathyromyia	4791366	Psathyromyia dasymera	8665797	
12089097	Micropygomyia longipennis (Barretto, 1946)	12089097	Micropygomyia longipennis (Barretto, 1946)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Micropygomyia	1641987	Micropygomyia longipennis	12089097	
9592544	Viannamyia tuberculata (Mangabeira, 1941)	9592544	Viannamyia tuberculata (Mangabeira, 1941)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Viannamyia	4788956	Viannamyia tuberculata	9592544	
12023487	Deanemyia samueli (Deane, 1955)	12023487	Deanemyia samueli (Deane, 1955)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Deanemyia	12061907	Deanemyia samueli	12023487	
1641107	Sergentomyia gombaki (Lewis & Wharton, 1963)	1641107	Sergentomyia gombaki (Lewis & Wharton, 1963)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Sergentomyia	1640777	Sergentomyia gombaki	1641107	
11114819	Phlebotomus nadimi Javadian, Jalali-Galousang & Seyedi-Rashti, 1997	11114819	Phlebotomus nadimi Javadian, Jalali-Galousang & Seyedi-Rashti, 1997	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Phlebotomus	1640274	Phlebotomus nadimi	11114819	
5088889	Lutzomyia forattinii Galati, Rego, Nunes & Oshiro, 1985	5088889	Lutzomyia forattinii Galati, Rego, Nunes & Oshiro, 1985	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Psychodidae	9164	Lutzomyia	5980929	Lutzomyia forattinii	5088889	
